bon_id;kunde;tag;verkaufsstunde;verkaufspositionsnr;referenzcluster;plz;stadt;bruttowert;edeka_oberwarengruppe;edeka_warengruppe;warengruppe_text;artikel;artikel_text
"20210522-071026-0000000001-00000000000000005173;71026;20210522;14;19;3;56072;Koblenz;1.990;200500;200502;TK-Gemüsemischungen;1296499008;Iglo Rahm-Gemüse Wirsing 500g"
"20210518-071046-0000000003-00000000000000009645;71046;20210518;17;15;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;2746054002;Maggi Fix Spaghetti Bolognese 38g"
"20210522-071026-0000000001-00000000000000005173;71026;20210522;14;18;3;56072;Koblenz;1.990;200500;200502;TK-Gemüsemischungen;1296501000;Iglo Rahm Porree 500g"
"20210518-071046-0000000003-00000000000000009645;71046;20210518;17;18;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;2746054002;Maggi Fix Spaghetti Bolognese 38g"
"20210522-071026-0000000001-00000000000000005201;71026;20210522;14;7;3;56072;Koblenz;1.590;200500;200501;TK-Monogemüse;3512336003;Bio Alna.Apfel-Rotkohl 450g"
"20210518-071046-0000000003-00000000000000009645;71046;20210518;17;19;1;46537;Dinslaken;0.890;220300;220301;Fixprodukte;2746054002;Maggi Fix Spaghetti Bolognese 38g"
"20210522-071026-0000000001-00000000000000005201;71026;20210522;14;8;3;56072;Koblenz;1.590;200500;200501;TK-Monogemüse;3512336003;Bio Alna.Apfel-Rotkohl 450g"
"20210518-071046-0000000003-00000000000000009667;71046;20210518;18;8;1;46537;Dinslaken;4.900;220300;220301;Fixprodukte;1398951006;Knorr Fix Brathähnchen 29g"
"20210522-071026-0000000001-00000000000000005272;71026;20210522;15;15;3;56072;Koblenz;1.990;200500;200502;TK-Gemüsemischungen;1229678009;Iglo Rahm Gemüse Erbsen&Karotten 480g"
"20210522-071026-0000000001-00000000000000005291;71026;20210522;16;2;3;56072;Koblenz;0.890;200500;200504;TK-Kräuter;1263712008;Iglo Knoblauch Duo 60g"
"20210522-071026-0000000001-00000000000000005291;71026;20210522;16;6;3;56072;Koblenz;0.890;200500;200504;TK-Kräuter;1263712008;Iglo Knoblauch Duo 60g"
"20210518-071046-0000000001-00000000000000003615;71046;20210518;9;3;1;46537;Dinslaken;0.690;220100;220102;Fertigger. Instant;3764486006;Maggi Magic Asia Inst.Nudel Sna.Chili62g"
"20210522-071026-0000000001-00000000000000005299;71026;20210522;16;3;3;56072;Koblenz;1.990;200500;200503;TK-Spinat;4441752003;Iglo Rahm Spinat portionierbar 750g"
"20210518-071046-0000000001-00000000000000003615;71046;20210518;9;4;1;46537;Dinslaken;0.690;220100;220102;Fertigger. Instant;3764486006;Maggi Magic Asia Inst.Nudel Sna.Chili62g"
